root_id,x,y,z,t,layer
5,2.828,8.672,-51.926,3400.0,Sand
5,2.828,8.671,-51.927,3450.0,Sand
5,2.828,8.671,-51.927,3500.0,Sand
5,2.828,8.671,-51.927,3550.0,Sand
5,2.829,8.671,-51.927,3600.0,Sand
5,2.829,8.671,-51.928,3650.0,Sand
5,2.829,8.671,-51.928,3700.0,Sand
5,2.829,8.671,-51.928,3750.0,Sand
5,2.829,8.671,-51.928,3800.0,Sand
5,2.829,8.671,-51.928,3850.0,Sand
5,2.829,8.671,-51.928,3900.0,Sand
5,2.829,8.671,-51.928,3950.0,Sand
5,2.829,8.671,-51.928,4000.0,Sand
5,2.829,8.671,-51.928,4050.0,Sand
5,2.829,8.671,-51.928,4100.0,Sand
5,2.829,8.671,-51.928,4150.0,Sand
5,2.829,8.671,-51.928,4200.0,Sand
5,2.829,8.671,-51.928,4250.0,Sand
5,2.829,8.671,-51.928,4300.0,Sand
5,2.829,8.671,-51.928,4350.0,Sand
5,2.829,8.671,-51.928,4400.0,Sand
5,2.829,8.671,-51.929,4450.0,Sand
5,2.829,8.671,-51.929,4500.0,Sand
5,2.829,8.671,-51.929,4550.0,Sand
5,2.829,8.671,-51.929,4600.0,Sand
5,2.829,8.671,-51.929,4650.0,Sand
5,2.829,8.671,-51.929,4700.0,Sand
5,2.829,8.671,-51.929,4750.0,Sand
5,2.829,8.671,-51.929,4800.0,Sand
5,2.829,8.671,-51.929,4850.0,Sand
5,2.829,8.671,-51.929,4900.0,Sand
5,2.829,8.671,-51.929,4950.0,Sand
5,2.829,8.671,-51.929,5000.0,Sand
4,-0.577,-6.076,-1.937,50.0,Loam
4,-0.994,-13.312,-1.947,100.0,Loam
4,-0.973,-19.906,-1.941,150.0,Loam
4,-0.721,-25.903,-1.912,200.0,Loam
4,-0.163,-31.339,-1.912,250.0,Loam
4,0.359,-36.285,-1.915,300.0,Loam
4,1.128,-40.745,-1.927,350.0,Loam
4,2.708,-44.543,-1.912,400.0,Loam
4,4.258,-47.959,-1.899,450.0,Loam
4,5.840,-50.980,-1.885,500.0,Loam
4,7.599,-53.533,-1.854,550.0,Loam
4,9.173,-55.880,-1.855,600.0,Loam
4,10.444,-58.117,-1.857,650.0,Loam
4,11.143,-60.351,-1.839,700.0,Loam
4,11.768,-62.386,-1.853,750.0,Loam
4,12.112,-64.291,-1.864,800.0,Loam
4,12.386,-66.031,-1.863,850.0,Loam
4,12.632,-67.617,-1.845,900.0,Loam
4,12.813,-69.067,-1.843,950.0,Loam
4,12.899,-70.395,-1.837,1000.0,Loam
4,13.028,-71.598,-1.833,1050.0,Loam
4,13.133,-72.695,-1.823,1100.0,Loam
4,13.191,-73.695,-1.820,1150.0,Loam
4,13.202,-74.608,-1.818,1200.0,Loam
4,13.219,-75.438,-1.818,1250.0,Loam
4,13.255,-76.193,-1.815,1300.0,Loam
4,13.291,-76.879,-1.816,1350.0,Loam
4,13.329,-77.504,-1.818,1400.0,Loam
4,13.384,-78.071,-1.818,1450.0,Loam
4,13.447,-78.585,-1.818,1500.0,Loam
4,13.514,-79.052,-1.813,1550.0,Loam
4,13.598,-79.473,-1.806,1600.0,Loam
4,13.686,-79.853,-1.805,1650.0,Loam
4,13.762,-80.201,-1.801,1700.0,Loam
4,13.819,-80.519,-1.799,1750.0,Loam
4,13.863,-80.810,-1.797,1800.0,Loam
4,13.874,-81.078,-1.800,1850.0,Loam
4,13.884,-81.321,-1.802,1900.0,Loam
4,13.891,-81.543,-1.802,1950.0,Loam
4,13.898,-81.745,-1.802,2000.0,Loam
4,13.905,-81.929,-1.802,2050.0,Loam
4,13.911,-82.096,-1.802,2100.0,Loam
4,13.916,-82.248,-1.802,2150.0,Loam
4,13.923,-82.386,-1.802,2200.0,Loam
4,13.930,-82.512,-1.802,2250.0,Loam
4,13.936,-82.627,-1.802,2300.0,Loam
4,13.942,-82.731,-1.802,2350.0,Loam
4,13.947,-82.826,-1.802,2400.0,Loam
4,13.951,-82.912,-1.802,2450.0,Loam
4,13.955,-82.991,-1.802,2500.0,Loam
4,13.959,-83.062,-1.802,2550.0,Loam
4,13.963,-83.127,-1.802,2600.0,Loam
4,13.966,-83.187,-1.802,2650.0,Loam
4,13.969,-83.241,-1.802,2700.0,Loam
4,13.971,-83.290,-1.802,2750.0,Loam
4,13.974,-83.334,-1.802,2800.0,Loam
4,13.976,-83.375,-1.802,2850.0,Loam
4,13.978,-83.412,-1.802,2900.0,Loam
4,13.980,-83.446,-1.802,2950.0,Loam
4,13.982,-83.476,-1.802,3000.0,Loam
4,13.984,-83.504,-1.802,3050.0,Loam
4,13.985,-83.529,-1.802,3100.0,Loam
4,13.987,-83.552,-1.802,3150.0,Loam
4,13.988,-83.573,-1.802,3200.0,Loam
4,13.989,-83.593,-1.802,3250.0,Loam
4,13.990,-83.610,-1.803,3300.0,Loam
4,13.991,-83.626,-1.803,3350.0,Loam
4,13.992,-83.640,-1.803,3400.0,Loam
4,13.992,-83.653,-1.803,3450.0,Loam
4,13.993,-83.665,-1.803,3500.0,Loam
4,13.994,-83.676,-1.803,3550.0,Loam
4,13.994,-83.686,-1.803,3600.0,Loam
4,13.995,-83.695,-1.803,3650.0,Loam
4,13.995,-83.703,-1.803,3700.0,Loam
4,13.996,-83.711,-1.803,3750.0,Loam
4,13.996,-83.717,-1.803,3800.0,Loam
4,13.996,-83.723,-1.803,3850.0,Loam
4,13.997,-83.729,-1.803,3900.0,Loam
4,13.997,-83.734,-1.803,3950.0,Loam
4,13.997,-83.739,-1.803,4000.0,Loam
4,13.997,-83.743,-1.803,4050.0,Loam
4,13.998,-83.747,-1.803,4100.0,Loam
4,13.998,-83.750,-1.803,4150.0,Loam
4,13.998,-83.754,-1.803,4200.0,Loam
4,13.998,-83.757,-1.803,4250.0,Loam
4,13.998,-83.759,-1.803,4300.0,Loam
4,13.999,-83.762,-1.803,4350.0,Loam
4,13.999,-83.764,-1.803,4400.0,Loam
4,13.999,-83.766,-1.803,4450.0,Loam
4,13.999,-83.768,-1.803,4500.0,Loam
4,13.999,-83.769,-1.803,4550.0,Loam
4,13.999,-83.771,-1.803,4600.0,Loam
4,13.999,-83.772,-1.803,4650.0,Loam
4,13.999,-83.773,-1.803,4700.0,Loam
4,13.999,-83.774,-1.803,4750.0,Loam
4,13.999,-83.775,-1.803,4800.0,Loam
4,13.999,-83.776,-1.803,4850.0,Loam
4,13.999,-83.777,-1.803,4900.0,Loam
4,13.999,-83.778,-1.803,4950.0,Loam
4,14.000,-83.779,-1.803,5000.0,Loam
7,0.963,3.621,-10.141,100.0,Loam
7,0.191,3.753,-10.833,150.0,Loam
7,0.191,3.753,-10.833,200.0,Loam
7,0.191,3.753,-10.833,250.0,Loam
7,0.191,3.753,-10.833,300.0,Loam
7,0.191,3.753,-10.833,350.0,Loam
7,0.191,3.753,-10.833,400.0,Loam
7,0.191,3.753,-10.833,450.0,Loam
7,0.191,3.753,-10.833,500.0,Loam
7,0.191,3.753,-10.833,550.0,Loam
7,0.191,3.753,-10.833,600.0,Loam
7,0.191,3.753,-10.833,650.0,Loam
7,0.191,3.753,-10.833,700.0,Loam
7,0.191,3.753,-10.833,750.0,Loam
7,0.191,3.753,-10.833,800.0,Loam
7,0.191,3.753,-10.833,850.0,Loam
7,0.191,3.753,-10.833,900.0,Loam
7,0.191,3.753,-10.833,950.0,Loam
7,0.191,3.753,-10.833,1000.0,Loam
7,0.191,3.753,-10.833,1050.0,Loam
7,0.191,3.753,-10.833,1100.0,Loam
7,0.191,3.753,-10.833,1150.0,Loam
7,0.191,3.753,-10.833,1200.0,Loam
7,0.191,3.753,-10.833,1250.0,Loam
7,0.191,3.753,-10.833,1300.0,Loam
7,0.191,3.753,-10.833,1350.0,Loam
7,0.191,3.753,-10.833,1400.0,Loam
7,0.191,3.753,-10.833,1450.0,Loam
7,0.191,3.753,-10.833,1500.0,Loam
7,0.191,3.753,-10.833,1550.0,Loam
7,0.191,3.753,-10.833,1600.0,Loam
7,0.191,3.753,-10.833,1650.0,Loam
7,0.191,3.753,-10.833,1700.0,Loam
7,0.191,3.753,-10.833,1750.0,Loam
7,0.191,3.753,-10.833,1800.0,Loam
7,0.191,3.753,-10.833,1850.0,Loam
7,0.191,3.753,-10.833,1900.0,Loam
7,0.191,3.753,-10.833,1950.0,Loam
7,0.191,3.753,-10.833,2000.0,Loam
7,0.191,3.753,-10.833,2050.0,Loam
7,0.191,3.753,-10.833,2100.0,Loam
7,0.191,3.753,-10.833,2150.0,Loam
7,0.191,3.753,-10.833,2200.0,Loam
7,0.191,3.753,-10.833,2250.0,Loam
7,0.191,3.753,-10.833,2300.0,Loam
7,0.191,3.753,-10.833,2350.0,Loam
7,0.191,3.753,-10.833,2400.0,Loam
7,0.191,3.753,-10.833,2450.0,Loam
7,0.191,3.753,-10.833,2500.0,Loam
7,0.191,3.753,-10.833,2550.0,Loam
7,0.191,3.753,-10.833,2600.0,Loam
7,0.191,3.753,-10.833,2650.0,Loam
7,0.191,3.753,-10.833,2700.0,Loam
7,0.191,3.753,-10.833,2750.0,Loam
7,0.191,3.753,-10.833,2800.0,Loam
7,0.191,3.753,-10.833,2850.0,Loam
7,0.191,3.753,-10.833,2900.0,Loam
7,0.191,3.753,-10.833,2950.0,Loam
7,0.191,3.753,-10.833,3000.0,Loam
7,0.191,3.753,-10.833,3050.0,Loam
7,0.191,3.753,-10.833,3100.0,Loam
7,0.191,3.753,-10.833,3150.0,Loam
7,0.191,3.753,-10.833,3200.0,Loam
